ID,path,title,authors,translators,author_qids,translator_qids,original_language,genre,source_edition
10,/p23/m10,חצי-נחמה,אחד העם,"",380425,"","",מאמרים ומסות,""
11,/p31/m11,אֲגָדַת הַהֵיכָל,אירה יאן,"",4203038,"","",מאמרים ומסות,""
16,/p46/m16,לידידי הרב החכם רב-הפעלים,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
17,/p87/m17,יצחק מאיר בילדותו,עזריאל נתן פרנק,"",9251083,"","",פרוזה,""
18,/p66/m18,פת לחם,יוסף חיים ברנר,"",939732,"","",פרוזה,"ע""פ “כתבים”, כרכים א‘-ב’, תל-אביב: הקיבוץ המאוחד, תשל“ח-תשמ”ה"
19,/p141/m19,הֲלָךְ נֶפֶשׁ,רחל בלובשטיין,"",241180,"","",שירה,"מתוך ""רחל: שירים מכתבים רשימות קורות חייה"", בעריכת אורי מילשטיין, תל אביב: זמורה ביתן, תשמ""ה 1985"
20,/p89/m20,אל הציפור,חיים נחמן ביאליק,"",359705,"","",שירה,"תל אביב: דביר, תשל""ג"
21,/p89/m21,מִשּׁוּט בַּמֶּרְחַקִּים,חיים נחמן ביאליק,"",359705,"","",שירה,"תל אביב: דביר, תשל""ג"
22,/p67/m22,בורגני וחלוץ עני: זמר לעם,קדיש יהודה סילמן,"",12410952,"","",שירה,"מתוך ""זמרי עם"", ירושלים: לכו נרננה, תרפ""ז 1927."
23,/p89/m23,הִרְהוּרֵי לָיְלָה,חיים נחמן ביאליק,"",359705,"","",שירה,"תל אביב: דביר, תשל""ג"
24,/p89/m24,על אילת השחר,חיים נחמן ביאליק,"",359705,"","",שירה,"תל אביב: דביר, תשל""ג"
25,/p89/m25,בִּתְשׁוּבָתִי,חיים נחמן ביאליק,"",359705,"","",שירה,"תל אביב: דביר, תשל""ג"
28,/p33/m28,מעל מכסה האניה,אלחנן ליב לוינסקי,"",7017172,"","",פרוזה,""
30,/p51/m30,נביא דורנו,שמריהו לוין,"",119618,"","",מאמרים ומסות,""
31,/p14/m31,[שד הרמון],אברהם שטרן,"",461846,"","",שירה,""
32,/p170/m32,[כִּסְעִיף הֲדַס תִּטֶּה צְבִיָּה],משה אבן עזרא,"",719393,"","",שירה,""
33,/p21/m33,הַתַּכְרִיך,אברהם שלום פרידברג,"",4249304,"","",פרוזה,""
34,/p13/m34,מעל המגדל,אהרן אברהם קבק,"",399957,"","",פרוזה,""
35,/p46/m35,הַשָּׂב וּשְׁלֹשֶת הַנְּעָרִים,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
36,/p46/m36,"לאיס""י [הבבלי]",יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
37,/p46/m37,קרית ספר,יהודה ליב גורדון,"",1376036,"","",פרוזה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
38,/p46/m38,אהבת דוד ומיכל: שיר ראשון,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
39,/p46/m39,הֶחָכָם וְהַמְּשֻגָּע,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
40,/p46/m40,שני ימים ולילה אחד בבית מלון אורחים,יהודה ליב גורדון,"",1376036,"","",פרוזה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
41,/p46/m41,בַּעֲלוֹת הַשַּׁחַר,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
42,/p46/m42,"לאיס""י [איש חמודות]",יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
43,/p39/m43,פרקים: עובדות נשכחות מעבודת ההסתדרות הציונית,זלמן דוד לבונטין,"",145159,"","",זכרונות ויומנים,""
44,/p46/m44,עֶשֶׁת בַּרְזֶל וַחֲצֹצְרָה,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
46,/p46/m46,[קוֹל רַעַם בַּגַּלְגַּל הִרְגִּיז רָקִיעַ],לאופולד שפר,יהודה ליב גורדון,62805,1376036,de,שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
47,/p46/m47,לאברהם יעקב סלוצקי,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
48,/p46/m48,אחרי מות,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
49,/p66/m49,שָׁמָּה,יוסף חיים ברנר,"",939732,"","",פרוזה,"ע""פ “כתבים”, כרכים א‘-ב’, תל-אביב: הקיבוץ המאוחד, תשל“ח-תשמ”ה"
50,/p57/m50,הֲרֵי אַתְּ מְקֻסֶּמֶת לִי,שאול טשרניחובסקי,"",521410,"","",שירה,"מתוך ""שירי שאול טשרניחובסקי"", תל אביב: דביר, תשכ""ח"
51,/p46/m51,שִׁלְהֵי קַיְטָא,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
52,/p186/m52,האחת והשנית,ישעיהו ברשדסקי,"",7064133,"","",פרוזה,"מתוך סיפורים, הוצאת תושיה, ורשה, תר""ע"
53,/p46/m53,לְיִשְׂרָאֵל מוֹכֵר הַמַּשְׁקֶה,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
54,/p89/m54,מִקְרָאֵי צִיּוֹן,חיים נחמן ביאליק,"",359705,"","",שירה,"תל אביב: דביר, תשל""ג"
55,/p46/m55,וְשָׂמַחְתָּ בְחַגֶּךָ,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
56,/p46/m56,תל אביב,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
57,/p46/m57,"להנ""ל – בְּמִכְתַּב תַּנְחוּמִים",יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
59,/p46/m59,בַּת יִפְתָּח בְּטֶרֶם מוּתָהּ,לורד ביירון,יהודה ליב גורדון,5679,1376036,en,שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
60,/p46/m60,יַעֲלַת סֶלַע וְהַנֶּשֶׁר,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
61,/p46/m61,לְמֵאִיר לֶטֶרִיס,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
62,/p46/m62,צְבִי מֻדָּח,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
63,/p46/m63,לַחֲבֵרִי בְּהֵיכַל שִׁירָתֵנוּ וּשְׁכֵנִי בְּחַצְרוֹת אֱלֹהֵינוּ הר“ר מנחם דאליצקי,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
64,/p46/m64,אני ישן ולבי ער,יהודה ליב גורדון,"",1376036,"","",פרוזה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
65,/p46/m65,מִכְתָּב בַּחֲרוּזִים,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
66,/p46/m66,הַשּׁוּעָל וְהַזְּאֵב,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
68,/p46/m68,עמנואל סאלאווייציק,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
69,/p46/m69,בִּקּוּר חֹלִים,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
70,/p46/m70,אל יאשם יהודה,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
71,/p46/m71,דִּבְרֵי שְׁכִיב-מְרַע,יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
72,/p46/m72,"להנ""ל",יהודה ליב גורדון,"",1376036,"","",שירה,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
